Mod:Item:MetaData, Localized Name
biomesoplenty:sapling_2:5, Mahogany Sapling
biomesoplenty:sapling_2:6, Ebony Sapling
biomesoplenty:sapling_2:7, Eucalyptus Sapling
biomesoplenty:plant_0:0, Short Grass
biomesoplenty:plant_0:1, Medium Grass
biomesoplenty:plant_0:2, Bush
biomesoplenty:plant_0:3, Sprout
biomesoplenty:plant_0:4, Poison Ivy
biomesoplenty:plant_0:5, Berry Bush
biomesoplenty:plant_0:6, Shrub
biomesoplenty:plant_0:7, Wheat Grass
biomesoplenty:plant_0:8, Damp Grass
biomesoplenty:plant_0:9, Koru
biomesoplenty:plant_0:10, Clover Patch
biomesoplenty:plant_0:11, Leaf Pile
biomesoplenty:plant_0:12, Dead Leaf Pile
biomesoplenty:plant_0:13, Dead Grass
biomesoplenty:plant_0:14, Desert Grass
biomesoplenty:plant_0:15, Desert Sprouts
biomesoplenty:plant_1:0, Dune Grass
biomesoplenty:plant_1:1, Spectral Fern
biomesoplenty:plant_1:2, Thorns
biomesoplenty:plant_1:3, Wild Rice
biomesoplenty:plant_1:4, Cattail
biomesoplenty:plant_1:5, River Cane
biomesoplenty:plant_1:6, Tiny Cactus
biomesoplenty:plant_1:7, Devilweed
biomesoplenty:plant_1:8, Reed
biomesoplenty:plant_1:9, Root
biomesoplenty:plant_1:10, Rafflesia
biomesoplenty:plant_1:11, Barley
biomesoplenty:double_plant:0, Flax
biomesoplenty:double_plant:1, Tall Cattail
biomesoplenty:double_plant:2, Eyebulb
biomesoplenty:double_plant:3, Sea Oats
biomesoplenty:mushroom:0, Toadstool
biomesoplenty:mushroom:1, Portobello
biomesoplenty:mushroom:2, Blue Milk Cap
biomesoplenty:mushroom:3, Glowshroom
biomesoplenty:mushroom:4, Flat Mushroom
biomesoplenty:mushroom:5, Shadow Shroom
biomesoplenty:bramble_plant:0, Bramble
biomesoplenty:flower_0:0, Clover
biomesoplenty:flower_0:1, Swampflower
biomesoplenty:flower_0:2, Deathbloom
biomesoplenty:flower_0:3, Glowflower
biomesoplenty:flower_0:4, Blue Hydrangea
biomesoplenty:flower_0:5, Orange Cosmos
biomesoplenty:flower_0:6, Pink Dafodil
biomesoplenty:flower_0:7, Wildflower
biomesoplenty:flower_0:8, Violet
biomesoplenty:flower_0:9, White Anemone
biomesoplenty:flower_0:10, Enderlotus
biomesoplenty:flower_0:11, Bromeliad
biomesoplenty:flower_0:12, Wilted Lily
biomesoplenty:flower_0:13, Pink Hibiscus
biomesoplenty:flower_0:14, Lily of the Valley
biomesoplenty:flower_0:15, Burning Blossom
biomesoplenty:flower_1:0, Lavender
biomesoplenty:flower_1:1, Goldenrod
biomesoplenty:flower_1:2, Bluebells
biomesoplenty:flower_1:3, Miner's Delight
biomesoplenty:flower_1:4, Icy Iris
biomesoplenty:flower_1:5, Rose
biomesoplenty:ivy:0, Ivy
biomesoplenty:willow_vine:0, Willow Vine
biomesoplenty:terrarium:0, Fern Terrarium
biomesoplenty:terrarium:1, Mushroom Terrarium
biomesoplenty:terrarium:2, Cactus Terrarium
biomesoplenty:terrarium:3, Flax Terrarium
biomesoplenty:terrarium:4, Flower Terrarium
biomesoplenty:terrarium:5, Koru Terrarium
biomesoplenty:terrarium:6, Bamboo Terrarium
biomesoplenty:terrarium:7, Beach Terrarium
biomesoplenty:terrarium:8, Glowshroom Terrarium
biomesoplenty:terrarium:9, Dead Terrarium
biomesoplenty:terrarium:10, Mystic Terrarium
biomesoplenty:terrarium:11, Ominous Terrarium
biomesoplenty:terrarium:12, Wasteland Terrarium
biomesoplenty:terrarium:13, Origin Terrarium
biomesoplenty:terrarium:14, Nether Terrarium
biomesoplenty:terrarium:15, Ender Terrarium
biomesoplenty:jar_filled:0, Honey Jar
biomesoplenty:jar_filled:1, Blue Fire Jar
biomesoplenty:jar_empty, Empty Jar
biomesoplenty:boat_sacred_oak, Sacred Oak Boat
biomesoplenty:boat_cherry, Cherry Boat
biomesoplenty:boat_umbran, Umbran Boat
biomesoplenty:boat_fir, Fir Boat
biomesoplenty:boat_ethereal, Ethereal Boat
biomesoplenty:boat_magic, Magic Boat
biomesoplenty:boat_mangrove, Mangrove Boat
biomesoplenty:boat_palm, Palm Boat
biomesoplenty:boat_redwood, Redwood Boat
biomesoplenty:boat_willow, Willow Boat
biomesoplenty:boat_pine, Pine Boat
biomesoplenty:boat_hellbark, Hellbark Boat
biomesoplenty:boat_jacaranda, Jacaranda Boat
biomesoplenty:boat_mahogany, Mahogany Boat
biomesoplenty:boat_ebony, Ebony Boat
biomesoplenty:boat_eucalyptus, Eucalyptus Boat
biomesoplenty:biome_finder, Biome Finder
biomesoplenty:record_wanderer, Music Disc
biomesoplenty:mudball, Mud Ball
biomesoplenty:mud_brick, Mud Brick
biomesoplenty:ash, Pile of Ashes
biomesoplenty:fleshchunk, Chunk of Flesh
biomesoplenty:gem:0, Ender Amethyst
biomesoplenty:gem:1, Ruby
biomesoplenty:gem:2, Peridot
biomesoplenty:gem:3, Topaz
biomesoplenty:gem:4, Tanzanite
biomesoplenty:gem:5, Malachite
biomesoplenty:gem:6, Sapphire
biomesoplenty:gem:7, Amber
biomesoplenty:terrestrial_artifact, Terrestrial Artifact
biomesoplenty:crystal_shard, Celestial Crystal Shard
biomesoplenty:biome_essence, Biome Essence
biomesoplenty:berries, Berry
biomesoplenty:pear, Pear
biomesoplenty:peach, Peach
biomesoplenty:persimmon, Persimmon
biomesoplenty:honeycomb, Empty Honeycomb
biomesoplenty:filled_honeycomb, Filled Honeycomb
biomesoplenty:shroompowder, Shroom Powder
biomesoplenty:ricebowl, Bowl of Rice
biomesoplenty:blue_dye, Blue Dye
biomesoplenty:brown_dye, Brown Dye
biomesoplenty:green_dye, Green Dye
biomesoplenty:white_dye, White Dye
biomesoplenty:black_dye, Black Dye
biomesoplenty:earth, Earth
carryon:tile_item, item.tile_item.name
carryon:entity_item, item.entity_item.name
sereneseasons:greenhouse_glass:0, Greenhouse Glass
sereneseasons:season_sensor_spring:0, Season Sensor
sereneseasons:season_sensor_summer:0, Season Sensor
sereneseasons:season_sensor_autumn:0, Season Sensor
sereneseasons:season_sensor_winter:0, Season Sensor
sereneseasons:ss_icon, SS Icon
sereneseasons:season_clock, Season Clock
elenaidodge:golden_feather, Gold Feathery Ingot
elenaidodge:iron_feather, Iron Feathery Ingot
thermalexpansion:machine:0, Redstone Furnace (Basic)
thermalexpansion:machine:1, Pulverizer (Basic)
thermalexpansion:machine:2, Sawmill (Basic)
thermalexpansion:machine:3, Induction Smelter (Basic)
thermalexpansion:machine:4, Phytogenic Insolator (Basic)
thermalexpansion:machine:5, Compactor (Basic)
thermalexpansion:machine:6, Magma Crucible (Basic)
thermalexpansion:machine:7, Fractionating Still (Basic)
thermalexpansion:machine:8, Fluid Transposer (Basic)
thermalexpansion:machine:9, Energetic Infuser (Basic)
thermalexpansion:machine:10, Centrifugal Separator (Basic)
thermalexpansion:machine:11, Sequential Fabricator (Basic)
thermalexpansion:machine:12, Alchemical Imbuer (Basic)
thermalexpansion:machine:13, Arcane Ensorcellator (Basic)
thermalexpansion:machine:14, Glacial Precipitator (Basic)
thermalexpansion:machine:15, Igneous Extruder (Basic)
thermalexpansion:device:0, Aqueous Accumulator
thermalexpansion:device:1, Nullifier
thermalexpansion:device:2, Thermal Mediator
thermalexpansion:device:3, Arboreal Extractor
thermalexpansion:device:4, Aquatic Entangler
thermalexpansion:device:5, Item Allocator
thermalexpansion:device:6, Fluid Allocator
thermalexpansion:device:7, Lexical Transmuter
thermalexpansion:device:8, Insightful Condenser
thermalexpansion:device:9, Decoctive Diffuser
thermalexpansion:device:10, Factorizer
thermalexpansion:device:11, Creature Encaptulator
thermalexpansion:device:12, Vacuumulator
thermalexpansion:dynamo:0, Steam Dynamo (Basic)
thermalexpansion:dynamo:1, Magmatic Dynamo (Basic)
thermalexpansion:dynamo:2, Compression Dynamo (Basic)
thermalexpansion:dynamo:3, Reactant Dynamo (Basic)
thermalexpansion:dynamo:4, Enervation Dynamo (Basic)
thermalexpansion:dynamo:5, Numismatic Dynamo (Basic)
thermalexpansion:cell:0, Energy Cell (Basic)
thermalexpansion:tank:0, Portable Tank (Basic)
thermalexpansion:cache:0, Cache (Basic)
thermalexpansion:strongbox:0, Strongbox (Basic)
thermalexpansion:capacitor:0, Flux Capacitor (Basic)
thermalexpansion:capacitor:1, Flux Capacitor (Hardened)
thermalexpansion:capacitor:2, Flux Capacitor (Reinforced)
thermalexpansion:capacitor:3, Flux Capacitor (Signalum)
thermalexpansion:capacitor:4, Flux Capacitor (Resonant)
thermalexpansion:capacitor:32000, Flux Capacitor (Creative)
thermalexpansion:reservoir:0, Reservoir (Basic)
thermalexpansion:reservoir:1, Reservoir (Hardened)
thermalexpansion:reservoir:2, Reservoir (Reinforced)
thermalexpansion:reservoir:3, Reservoir (Signalum)
thermalexpansion:reservoir:4, Reservoir (Resonant)
thermalexpansion:reservoir:32000, Reservoir (Creative)
thermalexpansion:satchel:0, Satchel (Basic)
thermalexpansion:satchel:1, Satchel (Hardened)
thermalexpansion:satchel:2, Satchel (Reinforced)
thermalexpansion:satchel:3, Satchel (Signalum)
thermalexpansion:satchel:4, Satchel (Resonant)
thermalexpansion:satchel:100, Satchel (Void)
thermalexpansion:satchel:32000, Satchel (Creative)
thermalexpansion:frame:0, Machine Frame
thermalexpansion:frame:64, Device Frame
thermalexpansion:frame:128, Energy Cell Frame
thermalexpansion:frame:129, Hardened Cell Frame
thermalexpansion:frame:130, Reinforced Cell Frame (Empty)
thermalexpansion:frame:131, Signalum Cell Frame (Empty)
thermalexpansion:frame:132, Resonant Cell Frame (Empty)
thermalexpansion:frame:146, Reinforced Cell Frame (Full)
thermalexpansion:frame:147, Signalum Cell Frame (Full)
thermalexpansion:frame:148, Resonant Cell Frame (Full)
thermalexpansion:augment:128, Augment: Auxiliary Reception Coil
thermalexpansion:augment:129, Augment: Auxiliary Sieve
thermalexpansion:augment:130, Augment: Nullification Chamber
thermalexpansion:augment:256, Augment: Trivection Chamber
thermalexpansion:augment:257, Augment: Flux Anodizers
thermalexpansion:augment:258, Augment: Pyrolytic Conversion
thermalexpansion:augment:273, Augment: Tectonic Initiator
thermalexpansion:augment:288, Augment: Resin Funnel
thermalexpansion:augment:303, Augment: Metallurgical Recovery
thermalexpansion:augment:304, Augment: Pyro-Concentrator
thermalexpansion:augment:320, Augment: Nutrient Recovery
thermalexpansion:augment:323, Augment: Sapling Infuser
thermalexpansion:augment:324, Augment: Monoculture Cycle
thermalexpansion:augment:336, Augment: Numismatic Press
thermalexpansion:augment:337, Augment: Gearworking Die
thermalexpansion:augment:352, Augment: Pyroconvective Loop
thermalexpansion:augment:368, Augment: Reflux Column
thermalexpansion:augment:369, Augment: Alchemical Retort
thermalexpansion:augment:400, Augment: Flux Linkage Concentrator
thermalexpansion:augment:401, Augment: Flux Reconstruction
thermalexpansion:augment:402, Augment: Parabolic Flux Coupling
thermalexpansion:augment:416, Augment: Enstabulation Apparatus
thermalexpansion:augment:432, Augment: Pattern Validation
thermalexpansion:augment:433, Augment: Fluidic Fabrication
thermalexpansion:augment:448, Augment: Reagent Recovery
thermalexpansion:augment:496, Augment: Pyroclastic Injection
thermalexpansion:augment:497, Augment: Clastic Deposition
thermalexpansion:augment:512, Augment: Auxiliary Transmission Coil
thermalexpansion:augment:513, Augment: Fuel Catalyzer
thermalexpansion:augment:514, Augment: Transmission Coil Ducting
thermalexpansion:augment:515, Augment: Excitation Field Limiter
thermalexpansion:augment:576, Augment: Boiler Conversion
thermalexpansion:augment:640, Augment: Turbine Conversion
thermalexpansion:augment:656, Augment: Isentropic Reservoir
thermalexpansion:augment:672, Augment: Closed-Loop Cooling
thermalexpansion:augment:673, Augment: Ignition Plugs
thermalexpansion:augment:674, Augment: Agitative Manifold
thermalexpansion:augment:688, Augment: Elemental Catalyzer
thermalexpansion:augment:704, Augment: Disjunctive Extraction
thermalexpansion:augment:720, Augment: Lapidary Calibration
thermalexpansion:florb:0, Florb (Empty§r)
thermalexpansion:florb:1, Magmatic Florb (Empty§r)
thermalexpansion:morb:0, Morb (Empty§r)
thermalexpansion:morb:1, Reusable Morb (Empty§r)
hammercore:iron_bordered_cobblestone, Iron-Bordered Cobblestone
hammercore:gold_bordered_cobblestone, Gold-Bordered Cobblestone
hammercore:diamond_bordered_cobblestone, Diamond-Bordered Cobblestone
hammercore:emerald_bordered_cobblestone, Emerald-Bordered Cobblestone
hammercore:quartz_bordered_cobblestone, Quartz-Bordered Cobblestone
hammercore:manual, Hammer Core Manual
hammercore:wrench, Wrench
malisisdoors:wood_sliding_door, Wooden Glass Door
malisisdoors:iron_sliding_door, Iron Glass Door
malisisdoors:jail_door, Jail Door
malisisdoors:laboratory_door, Laboratory Door
malisisdoors:factory_door, Factory Door
malisisdoors:shoji_door, Shoji Door
malisisdoors:curtain_white, White Curtain
malisisdoors:curtain_orange, Orange Curtain
malisisdoors:curtain_magenta, Magenta Curtain
malisisdoors:curtain_light_blue, Light Blue Curtain
malisisdoors:curtain_yellow, Yellow Curtain
malisisdoors:curtain_lime, Lime Curtain
malisisdoors:curtain_pink, Pink Curtain
malisisdoors:curtain_gray, Gray Curtain
malisisdoors:curtain_silver, SilverCurtain
malisisdoors:curtain_cyan, Cyan Curtain
malisisdoors:curtain_purple, Purple Curtain
malisisdoors:curtain_blue, Blue Curtain
malisisdoors:curtain_brown, Brown Curtain
malisisdoors:curtain_green, Green Curtain
malisisdoors:curtain_red, Red Curtain
malisisdoors:curtain_black, Black Curtain
malisisdoors:customdooritem, Custom Door
malisisdoors:saloon, Saloon Door
malisisdoors:sliding_trapdoor, Sliding Trapdoor
malisisdoors:trapdoor_acacia, Acacia Trapdoor
malisisdoors:trapdoor_birch, Birch Trapdoor
malisisdoors:trapdoor_dark_oak, Dark Oak Trapdoor
malisisdoors:trapdoor_jungle, Jungle Trapdoor
malisisdoors:trapdoor_spruce, Spruce Trapdoor
malisisdoors:camofencegate, Camo Fence Gate
malisisdoors:verticalhatch, Reinforced Door
malisisdoors:garage_door, Garage Door
malisisdoors:carriage_door, Carriage Door
malisisdoors:medieval_door, Medieval Door
malisisdoors:big_door_oak_3x3, Large Oak Double Doors
malisisdoors:big_door_spruce_3x3, Large Spruce Double Doors
malisisdoors:big_door_birch_3x3, Large Birch Double Doors
malisisdoors:big_door_jungle_3x3, Large Jungle Double Doors
malisisdoors:big_door_acacia_3x3, Large Acacia Double Doors
malisisdoors:big_door_dark_oak_3x3, Large Dark Oak Double Doors
malisisdoors:big_door_iron_3x3, Large Iron Double Doors
malisisdoors:big_door_rusty_3x3, Large Rusty Iron Double Doors
malisisdoors:rustyhatch, Rusty Hatch
malisisdoors:rustyhandle, Rusty Handle
malisisdoors:rustyladder, Rusty Ladder
malisisdoors:door_factory, Door Factory
malisisdoors:forcefielditem, Forcefield Controller
malisisdoors:hitechdoor, Hi-tech Door
malisisswitches:greenstone_dust, Greenstone
malisisswitches:powerlinker, Power Linker
malisisswitches:basicswitch1, Switch
malisisswitches:lightswitch1, Switch
malisisswitches:relay, Relay
nuclearcraft:ore:0, Copper Ore
nuclearcraft:ore:1, Tin Ore
nuclearcraft:ore:2, Lead Ore
nuclearcraft:ore:3, Thorium Ore
nuclearcraft:ore:4, Uranium Ore
nuclearcraft:ore:5, Boron Ore
nuclearcraft:ore:6, Lithium Ore
nuclearcraft:ore:7, Magnesium Ore
nuclearcraft:ingot_block:0, Copper Block
nuclearcraft:ingot_block:1, Tin Block
nuclearcraft:ingot_block:2, Lead Block
nuclearcraft:ingot_block:3, Thorium Block
nuclearcraft:ingot_block:4, Uranium Block
nuclearcraft:ingot_block:5, Boron Block
nuclearcraft:ingot_block:6, Lithium Block
nuclearcraft:ingot_block:7, Magnesium Block
nuclearcraft:ingot_block:8, Graphite Block
nuclearcraft:ingot_block:9, Beryllium Block
nuclearcraft:ingot_block:10, Zirconium Block
nuclearcraft:ingot_block:11, Manganese Block
nuclearcraft:ingot_block:12, Aluminum Block
nuclearcraft:ingot_block:13, Silver Block
nuclearcraft:ingot_block:14, Manganese Oxide Block
nuclearcraft:ingot_block:15, Manganese Dioxide Block
nuclearcraft:ingot_block2:0, Zirconia Block
nuclearcraft:ingot_block2:1, Palladium Block
nuclearcraft:ingot_block2:2, Tin Oxide Block
nuclearcraft:ingot_block2:3, Nickel Oxide Block
nuclearcraft:ingot_block2:4, Cobalt Oxide Block
nuclearcraft:ingot_block2:5, Ruthenium Oxide Block
nuclearcraft:ingot_block2:6, Iridium Oxide Block
nuclearcraft:ingot_block2:7, Holmium Block
nuclearcraft:ingot_block2:8, Dysprosium Block
nuclearcraft:ingot_block2:9, Gadolinium Block
nuclearcraft:material_block:0, Molybdenum Block
nuclearcraft:material_block:1, Copper Oxide Block
nuclearcraft:material_block:2, Cobalt Block
nuclearcraft:material_block:3, Nickel Block
nuclearcraft:material_block:4, Platinum Block
nuclearcraft:material_block:5, Soulless Sand
nuclearcraft:material_block:6, Soulless Sandstone
nuclearcraft:fertile_isotope:0, Uranium-238 Block
nuclearcraft:fertile_isotope:1, Neptunium-237 Block
nuclearcraft:fertile_isotope:2, Plutonium-242 Block
nuclearcraft:fertile_isotope:3, Americium-243 Block
nuclearcraft:fertile_isotope:4, Curium-246 Block
nuclearcraft:fertile_isotope:5, Berkelium-247 Block
nuclearcraft:fertile_isotope:6, Californium-252 Block
nuclearcraft:supercold_ice, Supercold Ice
nuclearcraft:heavy_water_moderator, Heavy Water Moderator
nuclearcraft:nuclear_furnace, Nuclear Furnace
nuclearcraft:manufactory, Manufactory
nuclearcraft:separator, Separator
nuclearcraft:decay_hastener, Decay Hastener
nuclearcraft:fuel_reprocessor, Fuel Reprocessor
nuclearcraft:alloy_furnace, Alloy Furnace
nuclearcraft:infuser, Fluid Infuser
nuclearcraft:melter, Melter
nuclearcraft:supercooler, Supercooler
nuclearcraft:electrolyzer, Electrolyzer
nuclearcraft:assembler, Assembler
nuclearcraft:ingot_former, Ingot Former
nuclearcraft:pressurizer, Pressurizer
nuclearcraft:chemical_reactor, Chemical Reactor
nuclearcraft:salt_mixer, Fluid Mixer
nuclearcraft:crystallizer, Crystallizer
nuclearcraft:enricher, Fluid Enricher
nuclearcraft:extractor, Fluid Extractor
nuclearcraft:centrifuge, Centrifuge
nuclearcraft:rock_crusher, Rock Crusher
nuclearcraft:electric_furnace, Electric Furnace
nuclearcraft:machine_interface, Machine Interface
nuclearcraft:distributor_buffer, Distributor Buffer
nuclearcraft:distributor_inlet, Distributor Inlet
nuclearcraft:distributor_outlet, Distributor Outlet
nuclearcraft:machine_frame, Large Machine Casing
nuclearcraft:machine_glass, Large Machine Glass
nuclearcraft:machine_power_port, Large Machine Power Port
nuclearcraft:machine_process_port, Large Machine Process Port
nuclearcraft:machine_reservoir_port, Large Machine Reservoir Port
nuclearcraft:machine_redstone_port, Large Machine Redstone Port
nuclearcraft:machine_computer_port, Large Machine Computer Port
nuclearcraft:machine_diaphragm:0, Sintered Steel Diaphragm
nuclearcraft:machine_diaphragm:1, Polyethersulfone Diaphragm
nuclearcraft:machine_diaphragm:2, Zirfon Diaphragm
nuclearcraft:machine_sieve_assembly:0, Steel Sieve Assembly
nuclearcraft:machine_sieve_assembly:1, Polytetrafluoroethylene Sieve Assembly
nuclearcraft:machine_sieve_assembly:2, Hastelloy Sieve Assembly
nuclearcraft:electrolyzer_controller, Electrolyzer Controller
nuclearcraft:electrolyzer_cathode_terminal, Electrolyzer Cathode Terminal
nuclearcraft:electrolyzer_anode_terminal, Electrolyzer Anode Terminal
nuclearcraft:distiller_controller, Distiller Controller
nuclearcraft:distiller_sieve_tray, Distiller Sieve Tray
nuclearcraft:distiller_reflux_unit, Distiller Reflux Unit
nuclearcraft:distiller_reboiling_unit, Distiller Reboiling Unit
nuclearcraft:distiller_liquid_distributor, Distiller Liquid Distributor
nuclearcraft:infiltrator_controller, Infiltrator Controller
nuclearcraft:infiltrator_pressure_chamber, Infiltrator Pressure Chamber
nuclearcraft:infiltrator_heating_unit, Infiltrator Heating Unit
nuclearcraft:decay_pool_controller, Decay Pool Controller
nuclearcraft:decay_pool_container, Decay Pool Container
nuclearcraft:rtg_uranium, Uranium RTG
nuclearcraft:rtg_plutonium, Plutonium RTG
nuclearcraft:rtg_americium, Americium RTG
nuclearcraft:rtg_californium, Californium RTG
nuclearcraft:solar_panel_basic, Basic Solar Panel
nuclearcraft:solar_panel_advanced, Advanced Solar Panel
nuclearcraft:solar_panel_du, DU Solar Panel
nuclearcraft:solar_panel_elite, Elite Solar Panel
nuclearcraft:decay_generator, Decay Generator
nuclearcraft:voltaic_pile_basic, Basic Voltaic Pile
nuclearcraft:voltaic_pile_advanced, Advanced Voltaic Pile
nuclearcraft:voltaic_pile_du, DU Voltaic Pile
nuclearcraft:voltaic_pile_elite, Elite Voltaic Pile
nuclearcraft:lithium_ion_battery_basic, Basic Lithium Ion Battery
nuclearcraft:lithium_ion_battery_advanced, Advanced Lithium Ion Battery
nuclearcraft:lithium_ion_battery_du, DU Lithium Ion Battery
nuclearcraft:lithium_ion_battery_elite, Elite Lithium Ion Battery
nuclearcraft:bin, Universal Bin
nuclearcraft:fission_casing, Fission Reactor Casing
nuclearcraft:fission_glass, Fission Reactor Glass
nuclearcraft:fission_conductor, Fission Reactor Conductor
nuclearcraft:fission_monitor, Fission Reactor Monitor
nuclearcraft:fission_reflector:0, Beryllium-Carbon Neutron Reflector
nuclearcraft:fission_reflector:1, Lead-Steel Neutron Reflector
nuclearcraft:fission_power_port, Fission Reactor Power Port
nuclearcraft:fission_vent, Fission Reactor Vent
nuclearcraft:fission_irradiator, Fission Irradiator
nuclearcraft:fission_source:0, Ra-Be Fission Neutron Source
nuclearcraft:fission_source:1, Po-Be Fission Neutron Source
nuclearcraft:fission_source:2, Cf-252 Fission Neutron Source
nuclearcraft:fission_shield:0, Boron-Silver Fission Neutron Shield
nuclearcraft:fission_shield:1, Gadolinium-Samarium Fission Neutron Shield
nuclearcraft:fission_computer_port, Fission Computer Port
nuclearcraft:fission_irradiator_port, Fission Irradiator Port
nuclearcraft:fission_chamber_port, Fission Fuel Chamber Port
nuclearcraft:fission_cooler_port:0, Oxygen Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:1, Hydrogen Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:2, Helium Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:3, Nitrogen Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:4, Fluorine Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:5, Methane Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:6, Carbon Dioxide Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:7, Carbon Monoxide Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:8, Ethylene Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:9, Acetylene Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:10, Fluoromethane Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:11, Ammonia Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:12, Diborane Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:13, Sulfur Dioxide Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:14, Sulfur Trioxide Fission Gas Cooler Port
nuclearcraft:fission_cooler_port:15, Sulfur Hexafluoride Fission Gas Cooler Port
nuclearcraft:fission_cell_port, Fission Fuel Cell Port
nuclearcraft:fission_vessel_port, Fission Fuel Vessel Port
nuclearcraft:fission_heater_port:0, Standard Fission Coolant Heater Port
nuclearcraft:fission_heater_port:1, Iron Fission Coolant Heater Port
nuclearcraft:fission_heater_port:2, Redstone Fission Coolant Heater Port
nuclearcraft:fission_heater_port:3, Quartz Fission Coolant Heater Port
nuclearcraft:fission_heater_port:4, Obsidian Fission Coolant Heater Port
nuclearcraft:fission_heater_port:5, Nether Brick Fission Coolant Heater Port
nuclearcraft:fission_heater_port:6, Glowstone Fission Coolant Heater Port
nuclearcraft:fission_heater_port:7, Lapis Fission Coolant Heater Port
nuclearcraft:fission_heater_port:8, Gold Fission Coolant Heater Port
nuclearcraft:fission_heater_port:9, Prismarine Fission Coolant Heater Port
nuclearcraft:fission_heater_port:10, Slime Fission Coolant Heater Port
nuclearcraft:fission_heater_port:11, End Stone Fission Coolant Heater Port
nuclearcraft:fission_heater_port:12, Purpur Fission Coolant Heater Port
nuclearcraft:fission_heater_port:13, Diamond Fission Coolant Heater Port
nuclearcraft:fission_heater_port:14, Emerald Fission Coolant Heater Port
nuclearcraft:fission_heater_port:15, Copper Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:0, Tin Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:1, Lead Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:2, Boron Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:3, Lithium Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:4, Magnesium Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:5, Manganese Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:6, Aluminum Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:7, Silver Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:8, Fluorite Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:9, Villiaumite Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:10, Carobbiite Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:11, Arsenic Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:12, Liquid Nitrogen Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:13, Liquid Helium Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:14, Enderium Fission Coolant Heater Port
nuclearcraft:fission_heater_port2:15, Cryotheum Fission Coolant Heater Port
nuclearcraft:fission_source_manager, Fission Neutron Source Manager
nuclearcraft:fission_shield_manager, Fission Neutron Shield Manager
nuclearcraft:pebble_fission_controller, Pebble Bed Fission Controller
nuclearcraft:pebble_fission_chamber, Fission Fuel Chamber
nuclearcraft:pebble_fission_cooler:0, Oxygen Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:1, Hydrogen Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:2, Helium Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:3, Nitrogen Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:4, Fluorine Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:5, Methane Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:6, Carbon Dioxide Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:7, Carbon Monoxide Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:8, Ethylene Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:9, Acetylene Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:10, Fluoromethane Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:11, Ammonia Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:12, Diborane Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:13, Sulfur Dioxide Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:14, Sulfur Trioxide Fission Gas Cooler
nuclearcraft:pebble_fission_cooler:15, Sulfur Hexafluoride Fission Gas Cooler
nuclearcraft:solid_fission_controller, Solid Fuel Fission Controller
nuclearcraft:solid_fission_cell, Fission Fuel Cell
nuclearcraft:solid_fission_sink:0, Water Fission Heat Sink
nuclearcraft:solid_fission_sink:1, Iron Fission Heat Sink
nuclearcraft:solid_fission_sink:2, Redstone Fission Heat Sink
nuclearcraft:solid_fission_sink:3, Quartz Fission Heat Sink
nuclearcraft:solid_fission_sink:4, Obsidian Fission Heat Sink
nuclearcraft:solid_fission_sink:5, Nether Brick Fission Heat Sink
